id,name,surface_moisture,canopy_moisture,wind_speed_mps,wind_direction,surface,midstory,canopy,outside_surface_growth_rate,outside_canopy_consumption_rate,time_to_traverse_buffer,run_max_mem_rss_MB,elapsed_model_s,fuels_dens_surface_final_plot,link
a3897d00-4f00-4d40-9fbc-ccbbad81127d,St. Mary large ensemble,0.1,1.0,6.705,300,0.9153345227241516,0.2903282940387726,0.0049714534543454,-1,-1,-1,3818,18950,https://wifire-data.sdsc.edu/data/burnpro3d/d/a3/89/run_a3897d00-4f00-4d40-9fbc-ccbbad81127d/png/run_a3897d00-4f00-4d40-9fbc-ccbbad81127d_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/a3/89/run_a3897d00-4f00-4d40-9fbc-ccbbad81127d/quicfire.zarr
3ebbbe45-97ac-4124-bcaa-ced45260c8f7,St. Mary large ensemble,0.25,0.9,4.47,315,0.7222180962562561,0.2645745277404785,0.005170767661184,-1,-1,-1,3818,12432,https://wifire-data.sdsc.edu/data/burnpro3d/d/3e/bb/run_3ebbbe45-97ac-4124-bcaa-ced45260c8f7/png/run_3ebbbe45-97ac-4124-bcaa-ced45260c8f7_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/3e/bb/run_3ebbbe45-97ac-4124-bcaa-ced45260c8f7/quicfire.zarr
73a944a6-64e4-4570-9cba-c3fbce560819,St. Mary large ensemble,0.12,1.0,4.47,300,0.9128262400627136,0.348270833492279,0.0073839547112584,-1,-1,-1,3818,14652,https://wifire-data.sdsc.edu/data/burnpro3d/d/73/a9/run_73a944a6-64e4-4570-9cba-c3fbce560819/png/run_73a944a6-64e4-4570-9cba-c3fbce560819_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/73/a9/run_73a944a6-64e4-4570-9cba-c3fbce560819/quicfire.zarr
e7148de9-bd42-426d-8bfc-0f78bf4d22f6,St. Mary large ensemble,0.1,0.9,4.47,330,0.9095539450645448,0.3460447788238525,0.006120117381215,-1,-1,-1,3818,14180,https://wifire-data.sdsc.edu/data/burnpro3d/d/e7/14/run_e7148de9-bd42-426d-8bfc-0f78bf4d22f6/png/run_e7148de9-bd42-426d-8bfc-0f78bf4d22f6_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/e7/14/run_e7148de9-bd42-426d-8bfc-0f78bf4d22f6/quicfire.zarr
3bdd906c-2556-443d-9bbb-e941388b1888,St. Mary large ensemble,0.1,1.0,3.129,315,0.9238948225975036,0.4092161357402801,0.0102658569812774,-1,-1,-1,3819,15769,https://wifire-data.sdsc.edu/data/burnpro3d/d/3b/dd/run_3bdd906c-2556-443d-9bbb-e941388b1888/png/run_3bdd906c-2556-443d-9bbb-e941388b1888_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/3b/dd/run_3bdd906c-2556-443d-9bbb-e941388b1888/quicfire.zarr
5adb35ea-267d-45c4-89dc-a3623944296f,St. Mary large ensemble,0.1,0.9,3.129,315,0.9280903339385986,0.4029085636138916,0.0097466586157679,-1,-1,-1,3821,16014,https://wifire-data.sdsc.edu/data/burnpro3d/d/5a/db/run_5adb35ea-267d-45c4-89dc-a3623944296f/png/run_5adb35ea-267d-45c4-89dc-a3623944296f_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/5a/db/run_5adb35ea-267d-45c4-89dc-a3623944296f/quicfire.zarr
bbd52554-8a5c-4312-9a1b-fc1ee43d48aa,St. Mary large ensemble,0.07,1.0,3.129,300,0.9557026028633118,0.427304208278656,0.0099113844335079,-1,-1,-1,3819,23297,https://wifire-data.sdsc.edu/data/burnpro3d/d/bb/d5/run_bbd52554-8a5c-4312-9a1b-fc1ee43d48aa/png/run_bbd52554-8a5c-4312-9a1b-fc1ee43d48aa_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/bb/d5/run_bbd52554-8a5c-4312-9a1b-fc1ee43d48aa/quicfire.zarr
b149d990-6827-4be5-a4a8-5f2b429d5410,St. Mary large ensemble,0.07,0.9,4.47,330,0.939039945602417,0.3657889068126678,0.0065270867198705,-1,-1,-1,3818,13327,https://wifire-data.sdsc.edu/data/burnpro3d/d/b1/49/run_b149d990-6827-4be5-a4a8-5f2b429d5410/png/run_b149d990-6827-4be5-a4a8-5f2b429d5410_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/b1/49/run_b149d990-6827-4be5-a4a8-5f2b429d5410/quicfire.zarr
18c910be-76a6-468e-adfe-4e513add6ceb,St. Mary large ensemble,0.1,1.0,3.129,330,0.9197778701782228,0.3979762494564056,0.0102031808346509,-1,-1,-1,3819,15618,https://wifire-data.sdsc.edu/data/burnpro3d/d/18/c9/run_18c910be-76a6-468e-adfe-4e513add6ceb/png/run_18c910be-76a6-468e-adfe-4e513add6ceb_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/18/c9/run_18c910be-76a6-468e-adfe-4e513add6ceb/quicfire.zarr
3d5fde7f-7969-48bd-b279-dc38e50bba91,St. Mary large ensemble,0.12,1.0,3.129,315,0.9009882807731628,0.3884425461292267,0.0121365915983915,-1,-1,-1,3819,23942,https://wifire-data.sdsc.edu/data/burnpro3d/d/3d/5f/run_3d5fde7f-7969-48bd-b279-dc38e50bba91/png/run_3d5fde7f-7969-48bd-b279-dc38e50bba91_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/3d/5f/run_3d5fde7f-7969-48bd-b279-dc38e50bba91/quicfire.zarr
046e056b-5dd5-4a9d-a8f2-89ea94ad7fa9,St. Mary large ensemble,0.07,0.9,4.47,315,0.94525545835495,0.3570151329040527,0.0059108682908117,-1,-1,-1,3818,10895,https://wifire-data.sdsc.edu/data/burnpro3d/d/04/6e/run_046e056b-5dd5-4a9d-a8f2-89ea94ad7fa9/png/run_046e056b-5dd5-4a9d-a8f2-89ea94ad7fa9_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/04/6e/run_046e056b-5dd5-4a9d-a8f2-89ea94ad7fa9/quicfire.zarr
6c4a68a0-e1e5-40c1-9eef-7d8ae868d1c8,St. Mary large ensemble,0.25,0.9,3.129,300,0.7468535900115967,0.3165852725505829,0.0080027496442198,-1,-1,-1,3819,17361,https://wifire-data.sdsc.edu/data/burnpro3d/d/6c/4a/run_6c4a68a0-e1e5-40c1-9eef-7d8ae868d1c8/png/run_6c4a68a0-e1e5-40c1-9eef-7d8ae868d1c8_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/6c/4a/run_6c4a68a0-e1e5-40c1-9eef-7d8ae868d1c8/quicfire.zarr
c3faaae2-3afa-4964-bd75-7f60ae499c81,St. Mary large ensemble,0.07,0.9,3.129,300,0.95638769865036,0.4320721328258514,0.010352942161262,-1,-1,-1,3819,16393,https://wifire-data.sdsc.edu/data/burnpro3d/d/c3/fa/run_c3faaae2-3afa-4964-bd75-7f60ae499c81/png/run_c3faaae2-3afa-4964-bd75-7f60ae499c81_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/c3/fa/run_c3faaae2-3afa-4964-bd75-7f60ae499c81/quicfire.zarr
4f01e0c9-d853-4e35-b270-71c56312465b,St. Mary large ensemble,0.07,0.9,3.129,330,0.9459266066551208,0.4162363111972809,0.0103254672139883,-1,-1,-1,3818,31558,https://wifire-data.sdsc.edu/data/burnpro3d/d/4f/01/run_4f01e0c9-d853-4e35-b270-71c56312465b/png/run_4f01e0c9-d853-4e35-b270-71c56312465b_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/4f/01/run_4f01e0c9-d853-4e35-b270-71c56312465b/quicfire.zarr
c7c54d06-691a-4edb-a328-3613933f8155,St. Mary large ensemble,0.07,1.0,3.129,315,0.9511303305625916,0.4196589589118957,0.0086217895150184,-1,-1,-1,3821,16652,https://wifire-data.sdsc.edu/data/burnpro3d/d/c7/c5/run_c7c54d06-691a-4edb-a328-3613933f8155/png/run_c7c54d06-691a-4edb-a328-3613933f8155_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/c7/c5/run_c7c54d06-691a-4edb-a328-3613933f8155/quicfire.zarr
6db540af-8236-4fdd-bd2b-ef08802e8167,St. Mary large ensemble,0.07,1.0,3.129,330,0.950343668460846,0.4188766479492187,0.0096942847594618,-1,-1,-1,3819,16394,https://wifire-data.sdsc.edu/data/burnpro3d/d/6d/b5/run_6db540af-8236-4fdd-bd2b-ef08802e8167/png/run_6db540af-8236-4fdd-bd2b-ef08802e8167_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/6d/b5/run_6db540af-8236-4fdd-bd2b-ef08802e8167/quicfire.zarr
d2322020-4f2e-41fd-b99e-bc2cb6542d42,St. Mary large ensemble,0.25,0.9,3.129,330,0.7202746272087097,0.3007446229457855,0.0071027069352567,-1,-1,-1,3819,14914,https://wifire-data.sdsc.edu/data/burnpro3d/d/d2/32/run_d2322020-4f2e-41fd-b99e-bc2cb6542d42/png/run_d2322020-4f2e-41fd-b99e-bc2cb6542d42_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/d2/32/run_d2322020-4f2e-41fd-b99e-bc2cb6542d42/quicfire.zarr
11219eaf-0865-49e8-b289-b068c10b8b02,St. Mary large ensemble,0.25,1.0,3.129,330,0.7129721641540527,0.2959537804126739,0.0078412126749753,-1,-1,-1,3818,18311,https://wifire-data.sdsc.edu/data/burnpro3d/d/11/21/run_11219eaf-0865-49e8-b289-b068c10b8b02/png/run_11219eaf-0865-49e8-b289-b068c10b8b02_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/11/21/run_11219eaf-0865-49e8-b289-b068c10b8b02/quicfire.zarr
cf58cdea-c651-45ad-a672-81b05aa0d4fe,St. Mary large ensemble,0.07,0.9,6.705,330,0.923537254333496,0.3087063729763031,0.0054544685408473,-1,-1,-1,3818,16617,https://wifire-data.sdsc.edu/data/burnpro3d/d/cf/58/run_cf58cdea-c651-45ad-a672-81b05aa0d4fe/png/run_cf58cdea-c651-45ad-a672-81b05aa0d4fe_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/cf/58/run_cf58cdea-c651-45ad-a672-81b05aa0d4fe/quicfire.zarr
1a6fec98-072b-4833-8d40-2f418faf362a,St. Mary large ensemble,0.12,0.9,6.705,330,0.8619435429573059,0.2881159782409668,0.0053146420978009,-1,-1,-1,3818,19277,https://wifire-data.sdsc.edu/data/burnpro3d/d/1a/6f/run_1a6fec98-072b-4833-8d40-2f418faf362a/png/run_1a6fec98-072b-4833-8d40-2f418faf362a_fuels-dens_9600_000.png,https://wifire-data.sdsc.edu/data/burnpro3d/d/1a/6f/run_1a6fec98-072b-4833-8d40-2f418faf362a/quicfire.zarr
